Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
27.0,Female,61.8,1.52,130.0,109.0,79.0,0.43,948.0,Strength,29.7,1.7,3.0,1.0,27.21
26.0,Female,69.4,1.74,151.0,117.0,72.0,0.44,689.0,Yoga,21.0,2.5,2.0,1.0,22.87
20.0,Female,52.4,1.63,185.0,155.0,64.0,1.38,743.0,Strength,22.4,1.9,5.0,3.0,19.3
41.0,Male,79.3,1.81,161.0,132.0,54.0,1.01,80.0,Cardio,18.9,2.9,3.0,2.0,23.56
43.0,Female,69.2,1.69,180.0,136.0,65.0,1.19,342.0,Cardio,26.7,3.3,6.0,3.0,23.83
39.0,Female,74.3,1.75,155.0,130.0,74.0,0.8,356.0,Cardio,23.6,2.3,3.0,1.0,24.05
48.0,Male,72.7,1.77,174.0,143.0,66.0,0.93,550.0,Strength,17.0,1.8,4.0,2.0,23.73
37.0,Female,44.5,1.5,163.0,134.0,76.0,1.14,689.0,Strength,16.0,2.7,4.0,3.0,20.31
41.0,Female,71.1,1.65,145.0,115.0,80.0,0.52,695.0,Cardio,28.4,1.9,2.0,1.0,26.45
40.0,Male,82.4,1.77,155.0,109.0,68.0,0.55,736.0,Cardio,16.1,1.4,1.0,1.0,26.73
35.0,Male,79.0,1.79,159.0,130.0,79.0,0.79,430.0,Strength,20.8,3.3,3.0,3.0,24.41
30.0,Male,78.8,1.8,173.0,150.0,68.0,0.91,874.0,Yoga,23.5,2.1,4.0,1.0,23.79
63.0,Female,81.0,1.62,150.0,107.0,72.0,0.7,1225.0,Cardio,29.5,1.4,2.0,1.0,30.51
31.0,Male,64.4,1.73,169.0,143.0,69.0,1.29,542.0,Cardio,16.0,2.6,3.0,2.0,20.81
28.0,Female,83.1,1.7,151.0,136.0,68.0,1.0,439.0,Strength,29.8,2.4,4.0,2.0,28.36
41.0,Male,74.8,1.91,178.0,156.0,48.0,1.28,437.0,Cardio,15.9,3.5,4.0,3.0,20.33
39.0,Male,110.2,1.98,147.0,129.0,67.0,1.1,679.0,Strength,25.0,2.3,3.0,2.0,28.17
19.0,Male,96.7,1.82,130.0,114.0,62.0,0.75,479.0,Yoga,22.3,1.9,1.0,1.0,29.24
49.0,Female,70.8,1.74,143.0,118.0,83.0,0.56,92.0,Yoga,25.4,2.3,2.0,2.0,23.14
35.0,Female,83.9,1.65,140.0,113.0,83.0,1.0,183.0,Yoga,30.6,2.2,2.0,1.0,31.02
23.0,Male,85.1,1.82,176.0,139.0,74.0,0.97,978.0,Cardio,22.5,2.6,4.0,3.0,25.46
50.0,Male,71.3,1.89,192.0,159.0,62.0,1.33,1067.0,Strength,22.9,2.9,4.0,2.0,19.96
44.0,Male,63.4,1.68,191.0,158.0,61.0,1.05,1167.0,Cardio,20.6,2.5,3.0,1.0,22.07
21.0,Male,90.2,1.77,142.0,121.0,67.0,0.7,720.0,Strength,26.6,1.9,1.0,1.0,29.17
57.0,Male,90.7,1.8,134.0,99.0,86.0,0.88,329.0,Yoga,22.5,2.5,2.0,1.0,28.0
44.0,Female,57.5,1.7,187.0,148.0,63.0,0.88,512.0,Strength,23.6,2.3,4.0,2.0,20.13
36.0,Female,66.7,1.69,165.0,134.0,52.0,1.09,175.0,Yoga,24.9,2.8,3.0,2.0,22.93
55.0,Female,60.7,1.55,169.0,138.0,79.0,0.67,160.0,Strength,27.3,2.7,1.0,1.0,25.33
38.0,Female,57.1,1.59,151.0,133.0,83.0,0.8,731.0,Cardio,27.0,1.8,2.0,1.0,22.79
36.0,Female,88.4,1.64,167.0,131.0,80.0,0.94,823.0,Cardio,31.8,3.5,2.0,2.0,32.15
28.0,Male,79.5,1.77,167.0,125.0,79.0,0.6,1274.0,Cardio,21.1,1.8,1.0,1.0,25.78
43.0,Male,77.5,1.81,161.0,130.0,76.0,1.08,625.0,Cardio,19.5,2.1,4.0,1.0,23.22
42.0,Male,87.9,1.74,141.0,118.0,72.0,0.7,212.0,Cardio,23.7,2.3,1.0,1.0,29.11
36.0,Female,56.2,1.56,152.0,125.0,57.0,0.53,607.0,Strength,26.0,2.3,2.0,2.0,23.72
27.0,Male,93.9,1.86,190.0,165.0,64.0,1.49,569.0,HIIT,22.6,2.8,5.0,2.0,27.48
38.0,Male,59.5,1.81,152.0,127.0,76.0,0.76,491.0,Yoga,21.0,2.5,2.0,1.0,17.64
35.0,Male,75.4,1.82,152.0,119.0,71.0,0.64,757.0,Yoga,28.3,2.2,2.0,2.0,22.7
20.0,Male,102.8,1.9,173.0,143.0,71.0,0.58,260.0,Strength,23.1,3.0,2.0,1.0,28.91
18.0,Male,88.0,1.7,150.0,114.0,65.0,0.7,688.0,Strength,27.3,2.1,3.0,1.0,30.16
43.0,Male,65.3,1.74,133.0,102.0,65.0,0.75,854.0,Yoga,22.4,1.7,2.0,1.0,21.44
18.0,Female,56.8,1.64,130.0,104.0,85.0,0.41,1097.0,HIIT,23.1,1.9,2.0,1.0,20.98
38.0,Male,79.8,1.73,157.0,133.0,85.0,0.71,748.0,Yoga,20.3,2.3,2.0,2.0,26.86
30.0,Female,61.0,1.66,140.0,117.0,72.0,0.75,981.0,Strength,29.9,2.3,3.0,1.0,21.6
52.0,Female,55.0,1.55,165.0,138.0,70.0,0.62,507.0,HIIT,27.4,2.5,4.0,2.0,23.11
30.0,Female,73.2,1.64,173.0,131.0,61.0,1.0,554.0,Strength,29.7,2.1,2.0,1.0,27.0
44.0,Male,71.9,1.79,157.0,113.0,76.0,0.75,1078.0,Cardio,24.3,2.6,2.0,1.0,22.44
31.0,Male,54.6,1.79,145.0,110.0,84.0,0.74,207.0,Cardio,17.9,3.0,1.0,1.0,16.96
37.0,Male,64.9,1.85,170.0,141.0,57.0,1.09,524.0,Cardio,17.0,2.5,3.0,2.0,19.17
45.0,Female,65.9,1.68,170.0,153.0,67.0,1.24,1017.0,HIIT,22.7,3.6,5.0,3.0,23.34
30.0,Female,40.2,1.56,188.0,158.0,68.0,1.13,588.0,Cardio,18.7,3.2,5.0,3.0,17.02
48.0,Male,76.6,1.81,143.0,121.0,76.0,0.38,553.0,Strength,24.3,3.1,3.0,1.0,23.73
24.0,Female,54.9,1.69,155.0,114.0,83.0,0.81,562.0,Strength,24.4,2.3,3.0,1.0,18.94
40.0,Male,90.9,1.72,130.0,103.0,86.0,0.76,683.0,Yoga,26.0,2.2,2.0,2.0,31.2
47.0,Female,83.8,1.6,134.0,103.0,70.0,0.83,994.0,Yoga,38.5,2.5,2.0,1.0,32.85
44.0,Male,60.9,1.75,187.0,166.0,73.0,0.86,950.0,Yoga,17.4,2.3,3.0,2.0,19.95
59.0,Male,93.9,1.92,161.0,133.0,73.0,0.77,653.0,Yoga,25.3,2.3,1.0,2.0,25.77
27.0,Male,74.5,1.89,164.0,131.0,68.0,0.42,996.0,Cardio,19.3,2.7,2.0,2.0,20.49
19.0,Female,56.0,1.55,147.0,111.0,74.0,0.52,754.0,Cardio,31.5,2.5,3.0,1.0,22.83
24.0,Male,100.8,1.81,164.0,136.0,73.0,0.99,926.0,HIIT,28.9,2.4,3.0,1.0,30.78
44.0,Male,71.2,1.77,144.0,110.0,74.0,0.75,317.0,Yoga,20.3,2.2,2.0,1.0,22.51
42.0,Male,64.4,1.68,146.0,123.0,62.0,1.22,1208.0,Cardio,19.7,2.8,3.0,2.0,23.54
37.0,Male,64.8,1.76,142.0,112.0,69.0,0.61,716.0,Strength,18.7,2.4,4.0,1.0,20.65
23.0,Female,71.7,1.61,203.0,167.0,61.0,1.16,80.0,Strength,26.9,3.1,4.0,2.0,27.68
45.0,Male,53.5,1.8,157.0,126.0,66.0,0.51,1177.0,Strength,11.1,2.3,2.0,1.0,16.58
21.0,Female,62.0,1.67,150.0,126.0,70.0,0.87,651.0,Strength,25.7,2.1,3.0,2.0,22.66
50.0,Female,67.6,1.71,177.0,151.0,67.0,1.62,532.0,HIIT,23.9,2.5,5.0,3.0,22.77
70.0,Male,61.5,1.72,197.0,161.0,71.0,1.4,464.0,Strength,17.0,3.0,5.0,2.0,20.22
40.0,Male,81.4,1.73,149.0,130.0,62.0,1.14,793.0,Cardio,23.5,2.8,3.0,3.0,27.69
43.0,Female,83.2,1.71,157.0,137.0,64.0,0.93,367.0,Cardio,29.9,2.8,4.0,2.0,28.48
30.0,Female,43.4,1.53,173.0,140.0,79.0,0.97,467.0,Cardio,21.8,2.1,4.0,3.0,18.82
18.0,Female,77.5,1.56,164.0,140.0,67.0,1.07,476.0,Strength,37.7,2.4,4.0,1.0,32.15
29.0,Female,50.7,1.63,137.0,121.0,72.0,0.57,553.0,Yoga,24.3,1.6,2.0,1.0,19.44
23.0,Male,90.2,1.77,168.0,129.0,67.0,0.93,485.0,HIIT,31.4,1.8,4.0,2.0,28.66
19.0,Female,65.0,1.63,149.0,130.0,76.0,0.87,923.0,Yoga,25.3,2.5,3.0,2.0,24.24
57.0,Male,70.8,1.82,169.0,143.0,72.0,1.22,741.0,Strength,21.5,3.4,6.0,3.0,20.68
39.0,Female,62.3,1.67,143.0,120.0,76.0,0.98,775.0,HIIT,23.7,2.5,4.0,2.0,21.99
41.0,Female,65.6,1.64,143.0,117.0,72.0,0.53,841.0,Cardio,24.8,3.0,2.0,1.0,24.41
32.0,Male,82.7,1.83,165.0,144.0,62.0,1.01,623.0,Cardio,28.2,2.4,3.0,2.0,24.45
34.0,Female,57.9,1.66,138.0,104.0,85.0,0.69,319.0,Yoga,21.5,2.1,2.0,1.0,20.61
48.0,Female,65.1,1.66,150.0,121.0,78.0,0.62,1224.0,Strength,19.2,1.7,2.0,1.0,23.64
36.0,Male,74.1,1.88,180.0,144.0,65.0,0.85,948.0,Cardio,16.7,2.3,4.0,3.0,21.44
42.0,Male,65.1,1.81,130.0,100.0,82.0,0.67,1161.0,Yoga,11.9,1.6,2.0,1.0,19.85
34.0,Male,46.9,1.48,160.0,115.0,68.0,0.57,977.0,Yoga,16.3,1.4,2.0,2.0,21.02
32.0,Female,54.1,1.64,147.0,134.0,82.0,0.66,501.0,Yoga,20.5,1.6,2.0,1.0,20.56
19.0,Male,85.3,1.93,139.0,124.0,82.0,0.81,80.0,Strength,20.4,2.1,2.0,1.0,22.63
18.0,Male,68.6,1.62,141.0,99.0,66.0,0.46,249.0,Yoga,16.8,1.8,1.0,1.0,26.66
33.0,Male,90.1,1.9,157.0,125.0,76.0,0.98,854.0,Cardio,25.6,1.9,2.0,1.0,24.87
37.0,Female,96.2,1.75,160.0,129.0,73.0,0.96,618.0,Strength,26.5,2.6,3.0,2.0,31.45
21.0,Female,47.7,1.7,156.0,125.0,90.0,0.71,514.0,Yoga,19.8,1.4,2.0,1.0,17.05
36.0,Female,62.6,1.58,180.0,147.0,59.0,1.18,80.0,HIIT,26.1,2.8,4.0,2.0,24.6
37.0,Female,52.5,1.5,183.0,153.0,74.0,1.46,653.0,HIIT,28.1,3.2,4.0,3.0,22.97
18.0,Male,89.4,1.82,151.0,131.0,68.0,0.95,304.0,Cardio,24.7,2.9,3.0,2.0,26.88
25.0,Female,75.0,1.66,153.0,118.0,63.0,0.59,414.0,Cardio,32.3,2.3,2.0,1.0,27.17
41.0,Female,59.6,1.6,163.0,130.0,67.0,0.88,922.0,Yoga,24.5,2.4,3.0,2.0,24.21
41.0,Female,73.5,1.73,173.0,134.0,68.0,0.93,321.0,Strength,25.3,2.2,4.0,2.0,24.25
22.0,Male,64.5,1.75,166.0,124.0,61.0,1.03,352.0,Strength,20.1,2.4,4.0,1.0,20.6
38.0,Female,68.8,1.62,172.0,141.0,70.0,1.0,712.0,Strength,31.1,3.2,4.0,2.0,25.89
48.0,Female,47.9,1.69,156.0,138.0,75.0,0.96,931.0,Cardio,22.9,2.6,3.0,2.0,16.85
45.0,Female,66.2,1.57,162.0,120.0,70.0,0.86,520.0,Cardio,29.4,2.4,2.0,1.0,27.03
35.0,Male,85.4,1.87,148.0,128.0,68.0,0.53,1116.0,Yoga,22.2,2.4,2.0,1.0,24.17
30.0,Female,66.0,1.73,165.0,134.0,67.0,0.9,241.0,Strength,24.5,2.5,3.0,2.0,22.06
28.0,Male,65.1,1.66,146.0,120.0,72.0,0.72,182.0,HIIT,22.1,2.2,2.0,1.0,24.31
42.0,Female,70.5,1.74,169.0,144.0,70.0,1.07,160.0,Cardio,31.7,2.3,4.0,2.0,23.3
38.0,Female,84.5,1.73,191.0,157.0,72.0,1.41,129.0,Strength,28.9,2.6,5.0,3.0,28.35
44.0,Female,98.0,1.65,160.0,130.0,74.0,0.65,756.0,Yoga,34.7,2.5,3.0,1.0,36.66
38.0,Female,63.4,1.49,165.0,133.0,58.0,1.03,339.0,Strength,28.5,1.6,3.0,1.0,28.31
46.0,Female,55.1,1.57,149.0,128.0,68.0,0.62,196.0,Yoga,26.0,2.3,2.0,1.0,22.09
37.0,Male,89.0,1.84,164.0,137.0,69.0,0.71,771.0,Strength,16.7,2.2,4.0,1.0,26.12
45.0,Male,90.6,1.83,145.0,123.0,80.0,0.62,911.0,Strength,23.2,1.2,2.0,1.0,26.87
46.0,Female,52.6,1.63,184.0,158.0,73.0,1.23,992.0,Cardio,25.5,2.4,5.0,3.0,19.16
26.0,Female,55.0,1.67,157.0,130.0,84.0,0.49,927.0,Strength,21.2,2.1,3.0,1.0,19.77
18.0,Male,60.5,1.62,204.0,161.0,65.0,1.2,362.0,Yoga,21.0,2.8,5.0,3.0,23.13
55.0,Female,69.9,1.61,158.0,132.0,73.0,0.99,739.0,Yoga,34.9,2.8,3.0,2.0,26.9
39.0,Female,45.5,1.6,141.0,130.0,58.0,0.8,808.0,Strength,22.2,2.8,3.0,2.0,17.86
18.0,Female,57.6,1.65,175.0,136.0,71.0,0.86,498.0,Cardio,17.2,1.8,4.0,2.0,21.25
27.0,Female,72.7,1.67,160.0,128.0,60.0,1.2,705.0,Cardio,23.6,2.6,4.0,2.0,25.61
45.0,Female,63.1,1.64,170.0,143.0,64.0,1.05,252.0,Strength,25.0,3.1,5.0,3.0,23.56
33.0,Male,92.6,1.76,130.0,97.0,92.0,0.62,443.0,Strength,23.5,2.2,3.0,1.0,30.09
30.0,Male,60.1,1.8,141.0,121.0,70.0,0.8,767.0,Cardio,17.1,2.7,4.0,2.0,17.99
53.0,Male,115.7,1.86,182.0,138.0,66.0,0.54,1130.0,Strength,27.9,1.2,3.0,2.0,33.96
23.0,Female,51.0,1.68,157.0,129.0,71.0,0.94,1019.0,Cardio,24.9,2.0,4.0,2.0,17.64
26.0,Female,44.1,1.62,151.0,137.0,68.0,0.5,859.0,HIIT,17.2,2.7,2.0,1.0,16.41
39.0,Female,69.2,1.71,171.0,140.0,61.0,1.06,678.0,Yoga,25.3,2.3,4.0,2.0,23.74
41.0,Female,54.0,1.66,174.0,136.0,83.0,1.17,629.0,Strength,23.3,3.5,3.0,3.0,19.78
42.0,Female,69.5,1.71,150.0,121.0,75.0,1.1,187.0,Strength,27.0,1.9,5.0,2.0,24.04
47.0,Female,65.1,1.66,157.0,136.0,70.0,1.12,385.0,Cardio,26.3,3.2,3.0,1.0,23.82
38.0,Female,65.4,1.68,175.0,155.0,65.0,0.76,395.0,Yoga,18.3,2.2,4.0,2.0,22.99
42.0,Female,53.7,1.61,173.0,152.0,66.0,0.93,837.0,Cardio,23.8,2.8,3.0,2.0,20.75
33.0,Female,66.2,1.61,179.0,139.0,79.0,1.04,955.0,Yoga,27.0,2.3,3.0,2.0,25.43
37.0,Male,69.5,1.75,152.0,125.0,70.0,1.1,887.0,Cardio,22.7,2.5,3.0,2.0,22.75
37.0,Female,78.5,1.69,159.0,144.0,48.0,1.55,1035.0,Cardio,31.2,3.1,5.0,3.0,27.51
39.0,Male,64.8,1.65,140.0,109.0,89.0,0.81,670.0,Yoga,21.8,1.8,2.0,1.0,23.62
45.0,Female,57.4,1.66,160.0,131.0,73.0,0.78,335.0,HIIT,24.6,2.5,2.0,1.0,20.71
43.0,Male,58.6,1.8,158.0,134.0,74.0,1.05,636.0,Cardio,20.5,2.0,2.0,1.0,17.44
37.0,Female,60.3,1.61,158.0,138.0,76.0,0.98,420.0,Strength,29.0,2.5,4.0,2.0,23.55
26.0,Male,59.6,1.74,134.0,115.0,75.0,0.61,856.0,HIIT,18.6,1.0,1.0,1.0,19.79
37.0,Female,50.5,1.64,188.0,151.0,73.0,1.0,538.0,Cardio,28.5,2.3,3.0,3.0,17.97
36.0,Female,71.4,1.66,156.0,126.0,65.0,0.83,617.0,Yoga,25.8,3.0,4.0,2.0,26.19
38.0,Male,51.9,1.71,151.0,119.0,63.0,0.66,869.0,Strength,12.6,2.4,2.0,1.0,17.73
62.0,Female,75.2,1.62,189.0,159.0,66.0,1.03,417.0,Cardio,29.9,3.2,5.0,3.0,28.33
30.0,Female,68.3,1.67,158.0,127.0,78.0,0.89,958.0,Cardio,25.5,2.5,4.0,2.0,24.13
41.0,Male,87.8,1.9,136.0,112.0,67.0,0.63,214.0,Cardio,14.1,2.9,2.0,1.0,24.08
49.0,Female,60.8,1.72,137.0,111.0,67.0,0.79,745.0,Strength,21.5,2.2,2.0,1.0,20.23
37.0,Male,91.8,1.83,169.0,132.0,81.0,0.82,621.0,Yoga,25.0,1.8,2.0,2.0,27.13
64.0,Male,71.6,1.71,176.0,137.0,69.0,0.51,912.0,Strength,21.4,2.5,2.0,1.0,25.08
31.0,Female,53.3,1.56,137.0,119.0,69.0,0.96,209.0,Cardio,22.2,2.5,3.0,2.0,22.03
40.0,Female,64.7,1.64,177.0,151.0,61.0,1.31,166.0,Strength,26.4,3.1,4.0,3.0,24.77
26.0,Female,44.1,1.56,147.0,112.0,72.0,0.69,886.0,Yoga,21.9,1.9,1.0,1.0,18.2
32.0,Male,65.3,1.89,161.0,118.0,61.0,0.41,520.0,Yoga,18.8,2.2,1.0,1.0,18.48
39.0,Female,48.4,1.57,172.0,130.0,64.0,0.88,621.0,Cardio,20.8,3.1,4.0,2.0,19.33
46.0,Female,78.1,1.76,157.0,135.0,70.0,1.13,441.0,Yoga,29.8,2.7,3.0,2.0,25.15
40.0,Female,61.9,1.63,196.0,158.0,66.0,1.32,949.0,Strength,22.4,2.1,5.0,3.0,23.27
51.0,Male,85.4,1.75,160.0,132.0,76.0,0.99,747.0,Yoga,22.8,2.2,2.0,2.0,28.1
35.0,Male,61.1,1.73,170.0,134.0,81.0,1.0,728.0,Strength,23.4,2.1,3.0,2.0,20.4
32.0,Male,70.9,1.63,150.0,116.0,83.0,0.43,270.0,Yoga,20.3,1.8,3.0,1.0,26.81
68.0,Male,70.8,1.76,169.0,151.0,70.0,1.28,816.0,Strength,18.3,1.8,5.0,3.0,22.97
41.0,Male,71.0,1.87,164.0,132.0,67.0,1.18,335.0,Cardio,14.5,3.3,3.0,1.0,20.2
27.0,Female,64.2,1.61,198.0,162.0,60.0,1.45,448.0,Strength,24.3,2.4,4.0,3.0,24.63
28.0,Male,76.8,1.78,130.0,100.0,72.0,0.63,207.0,Yoga,21.8,1.7,2.0,1.0,24.01
25.0,Male,60.4,1.7,196.0,170.0,68.0,1.52,610.0,Cardio,20.8,1.9,5.0,3.0,21.28
47.0,Female,61.6,1.6,152.0,137.0,74.0,0.78,991.0,Yoga,26.2,2.8,3.0,2.0,23.96
32.0,Male,83.1,1.86,157.0,124.0,76.0,0.5,719.0,Yoga,20.2,2.1,3.0,1.0,24.14
38.0,Male,76.4,1.81,173.0,143.0,67.0,1.25,513.0,Strength,16.9,2.3,4.0,2.0,23.27
35.0,Female,57.2,1.6,150.0,129.0,74.0,1.06,686.0,Strength,22.7,2.3,3.0,2.0,22.72
45.0,Female,50.0,1.6,134.0,109.0,81.0,0.61,678.0,Strength,18.0,2.4,3.0,1.0,18.84
26.0,Female,71.5,1.72,155.0,126.0,74.0,0.96,671.0,HIIT,28.6,2.2,3.0,2.0,24.27
23.0,Male,48.8,1.53,158.0,134.0,68.0,0.85,707.0,Strength,21.1,1.6,4.0,2.0,20.41
39.0,Female,57.5,1.67,153.0,125.0,66.0,0.69,315.0,Strength,23.4,1.5,4.0,2.0,20.75
43.0,Male,91.0,1.99,144.0,130.0,62.0,1.0,685.0,HIIT,21.7,1.8,3.0,2.0,22.93
40.0,Female,80.7,1.72,163.0,124.0,67.0,0.65,86.0,Strength,31.5,2.2,3.0,1.0,26.76
26.0,Male,78.1,1.76,130.0,94.0,74.0,0.48,827.0,Cardio,22.5,2.5,3.0,1.0,25.33
44.0,Female,62.2,1.71,169.0,150.0,68.0,1.33,303.0,Cardio,28.2,3.5,4.0,3.0,21.35
27.0,Male,65.8,1.74,156.0,148.0,58.0,0.89,1029.0,Cardio,16.3,1.7,3.0,2.0,21.65
30.0,Female,76.0,1.68,152.0,116.0,68.0,0.5,80.0,Cardio,27.5,2.4,2.0,1.0,26.89
25.0,Female,39.1,1.54,178.0,146.0,66.0,1.48,1192.0,Yoga,18.8,2.5,5.0,3.0,16.54
52.0,Female,57.7,1.48,177.0,147.0,58.0,1.62,133.0,HIIT,30.0,4.1,5.0,3.0,26.75
44.0,Female,49.0,1.68,130.0,88.0,75.0,0.94,261.0,Strength,16.6,2.7,2.0,1.0,17.25
43.0,Female,52.3,1.68,161.0,126.0,66.0,1.07,747.0,Cardio,26.2,3.2,4.0,2.0,18.88
51.0,Male,92.0,2.02,159.0,129.0,67.0,0.61,846.0,Strength,21.7,2.5,1.0,1.0,22.53
70.0,Male,101.1,1.79,174.0,148.0,64.0,1.28,565.0,Strength,32.5,3.0,4.0,3.0,32.01
18.0,Male,98.1,1.8,156.0,131.0,71.0,1.03,937.0,Yoga,26.1,2.3,4.0,2.0,30.2
27.0,Male,71.5,1.64,144.0,113.0,62.0,0.91,393.0,HIIT,21.6,2.2,4.0,2.0,26.35
29.0,Female,73.0,1.68,141.0,102.0,70.0,0.85,518.0,Strength,29.7,1.7,2.0,1.0,25.48
26.0,Male,57.7,1.87,193.0,166.0,67.0,0.98,558.0,HIIT,18.3,3.1,5.0,3.0,16.49
23.0,Male,70.0,1.67,164.0,124.0,67.0,0.61,475.0,Yoga,19.9,2.8,3.0,2.0,24.82
32.0,Female,59.5,1.63,136.0,105.0,60.0,0.77,80.0,Yoga,18.9,1.9,2.0,1.0,22.89
21.0,Male,67.8,1.78,143.0,112.0,61.0,0.52,637.0,Yoga,13.6,1.8,2.0,1.0,21.09
40.0,Female,58.8,1.55,183.0,136.0,65.0,0.93,614.0,Strength,27.4,1.8,4.0,2.0,24.23
37.0,Male,72.0,1.78,147.0,106.0,63.0,0.74,991.0,Strength,24.8,2.2,3.0,1.0,22.93
42.0,Male,81.5,1.75,175.0,134.0,62.0,1.52,244.0,HIIT,19.4,3.4,4.0,3.0,27.03
42.0,Male,44.0,1.63,156.0,134.0,80.0,0.78,445.0,Cardio,14.4,3.0,4.0,1.0,16.82
43.0,Female,86.7,1.87,170.0,124.0,62.0,0.44,1031.0,Strength,25.8,2.7,3.0,1.0,25.16
32.0,Male,70.9,1.83,151.0,124.0,70.0,0.51,740.0,Yoga,24.7,2.3,2.0,1.0,21.14
61.0,Female,55.8,1.56,153.0,127.0,87.0,0.42,822.0,Strength,32.1,2.1,1.0,1.0,22.91
39.0,Male,87.6,1.87,131.0,120.0,71.0,0.75,793.0,Cardio,23.3,3.0,4.0,2.0,25.75
18.0,Female,49.1,1.58,168.0,137.0,65.0,0.82,797.0,Cardio,25.4,2.0,3.0,2.0,20.26
24.0,Male,87.9,1.87,134.0,115.0,71.0,0.84,1230.0,Strength,24.7,1.9,1.0,2.0,25.39
18.0,Male,77.3,1.83,166.0,135.0,71.0,0.92,680.0,Yoga,16.6,3.2,2.0,2.0,23.47
36.0,Female,57.0,1.61,135.0,116.0,84.0,0.65,323.0,Yoga,26.7,1.6,3.0,1.0,22.29
35.0,Female,53.1,1.55,171.0,129.0,64.0,0.83,854.0,HIIT,21.6,2.4,3.0,3.0,21.68
30.0,Male,77.7,1.85,156.0,124.0,59.0,1.39,472.0,HIIT,19.7,3.1,5.0,3.0,22.69
60.0,Female,58.5,1.67,194.0,148.0,58.0,1.25,620.0,HIIT,27.2,2.5,4.0,2.0,21.5
43.0,Female,63.6,1.63,159.0,139.0,69.0,0.84,769.0,Strength,26.4,3.0,4.0,2.0,24.19
45.0,Female,66.0,1.7,161.0,121.0,58.0,1.23,389.0,Strength,28.6,3.1,4.0,2.0,22.82
25.0,Female,62.6,1.68,137.0,123.0,69.0,0.7,484.0,Yoga,28.6,2.3,2.0,1.0,22.71
24.0,Male,100.1,1.81,144.0,114.0,66.0,0.65,798.0,Cardio,21.2,2.7,2.0,1.0,30.68
36.0,Male,85.4,1.81,137.0,114.0,80.0,0.71,471.0,Yoga,16.3,1.7,2.0,1.0,26.33
38.0,Female,61.9,1.66,152.0,128.0,64.0,1.03,962.0,Cardio,28.4,2.4,3.0,2.0,22.59
18.0,Female,70.7,1.7,165.0,141.0,71.0,1.25,339.0,Yoga,30.2,3.5,3.0,2.0,24.65
34.0,Female,57.8,1.7,149.0,128.0,57.0,1.05,334.0,Yoga,23.8,3.3,3.0,2.0,20.21
36.0,Female,59.6,1.66,161.0,143.0,65.0,1.37,1265.0,Strength,25.5,2.2,5.0,2.0,22.08
33.0,Male,68.1,1.71,153.0,129.0,64.0,0.59,158.0,Strength,23.3,2.1,3.0,2.0,23.79
26.0,Female,59.4,1.76,163.0,134.0,65.0,1.1,644.0,Cardio,25.0,2.5,4.0,2.0,19.02
30.0,Male,85.1,1.81,154.0,117.0,87.0,0.51,1238.0,HIIT,21.9,2.3,2.0,1.0,26.1
34.0,Male,51.5,1.51,155.0,125.0,79.0,0.67,638.0,Strength,22.9,2.7,1.0,1.0,23.03
37.0,Male,87.5,1.97,166.0,129.0,67.0,1.4,1085.0,Strength,19.0,3.3,3.0,1.0,22.5
43.0,Male,70.8,1.83,165.0,149.0,86.0,0.91,861.0,HIIT,19.6,2.8,4.0,3.0,20.68
49.0,Female,88.8,1.59,164.0,139.0,62.0,1.0,650.0,Yoga,35.7,3.0,3.0,2.0,34.81
32.0,Female,58.4,1.63,137.0,103.0,80.0,0.69,603.0,Cardio,22.0,2.4,2.0,1.0,21.69
31.0,Female,43.3,1.62,169.0,138.0,57.0,0.94,80.0,Cardio,18.0,2.4,4.0,1.0,16.34
41.0,Male,59.0,1.79,131.0,110.0,70.0,0.62,543.0,Strength,23.4,1.3,3.0,1.0,18.15
43.0,Male,79.3,1.74,198.0,163.0,55.0,1.3,731.0,Yoga,20.3,3.3,5.0,3.0,26.55
31.0,Female,80.8,1.67,165.0,141.0,70.0,0.93,726.0,Strength,31.3,2.7,5.0,2.0,28.88
45.0,Female,66.3,1.74,144.0,122.0,72.0,0.68,1436.0,Yoga,26.3,2.3,3.0,1.0,22.34
48.0,Female,83.9,1.69,134.0,102.0,70.0,0.58,734.0,Cardio,30.3,1.7,3.0,2.0,28.98
52.0,Male,96.6,1.88,145.0,117.0,80.0,0.95,850.0,Strength,25.9,3.0,2.0,1.0,27.21
57.0,Male,75.6,1.83,166.0,142.0,60.0,1.25,1027.0,Cardio,21.1,2.9,4.0,3.0,22.61
26.0,Male,72.6,1.78,160.0,136.0,70.0,1.06,825.0,Strength,17.7,1.9,3.0,3.0,23.2
36.0,Male,86.0,1.87,132.0,113.0,74.0,0.87,620.0,Cardio,23.3,1.9,3.0,1.0,24.99
36.0,Female,74.1,1.65,146.0,121.0,58.0,1.11,625.0,Strength,27.2,2.8,3.0,1.0,27.03
35.0,Male,83.2,1.81,185.0,148.0,63.0,1.08,541.0,Yoga,27.5,2.8,3.0,2.0,25.74
28.0,Male,70.3,1.79,152.0,122.0,72.0,0.71,790.0,Strength,20.8,1.9,2.0,1.0,21.35
